Title; Issue; Editor; Volume; Number; Whole_Number; Month; Day; Year; URL
Acolyte; Acolyte 3; F. Towner Laney;  1; 3; 3; Spring; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/32/rec/1
Acolyte; Acolyte 4; F. Towner Laney;  1; 4; 4; Summer; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/4435/rec/15
Acolyte; Acolyte 5; F. Towner Laney;  2; 1; 5; Fall; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/10173/rec/26
Catalyst; Catalyst 1; Ed Chamberlain; 1; 1; 1; January; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/2118/rec/11
Chanticleer; Chanticleer 1; Walt Liebscher; 1; 1; 1; ; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/10889/rec/30
Erebus; Erebus 4; Len Marlowe; 1; 4; 4; ; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/10216/rec/27
Fantasy Commentator; Fantasy Commentator 1; Langley Searles; 1; 1; 1; December; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/10950/rec/31
Futurian War Digest; Futurian War Digest 25; J. Michael Rosenblum; 3; 3; 25; January; ; 1943; http://efanzines.com/FWD/FWD25.htm
Futurian War Digest; Futurian War Digest 26; J. Michael Rosenblum; 3; 4; 26; February; ; 1943; http://efanzines.com/FWD/FWD26.htm
Futurian War Digest; Futurian War Digest 28; J. Michael Rosenblum; 3; 6; 28; May; ; 1943; http://efanzines.com/FWD/FWD28.htm
Futurian War Digest; Futurian War Digest 29; J. Michael Rosenblum; 3; 7; 29; July; ; 1943; http://efanzines.com/FWD/FWD29.htm
Futurian War Digest; Futurian War Digest 30; J. Michael Rosenblum; 3; 8; 30; August; ;1943; http://efanzines.com/FWD/FWD30.htm
Futurian War Digest; Futurian War Digest 31; J. Michael Rosenblum; 4; 1; 31; October; ; 1943; http://efanzines.com/FWD/FWD31.htm
Futurian War Digest; Futurian War Digest 32; J. Michael Rosenblum; 4; 2; 32; December; ; 1943; http://efanzines.com/FWD/FWD32.htm
Le Zombie; Le Zombie 51; Bob Tucker; 5; 4; 51; January; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/411/rec/2
MFS Bulletin; MSF Bulletin 13; Brackney Gergen; 3; 1; 13; January; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/743/rec/3
MFS Bulletin; MFS Bulletin 14; Brackney Gergen; 3; 2; 14; January; 11; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/750/rec/4
MFS Bulletin; MFS Bulletin 15; Brackney Gergen; 3; 4; 15; January; 18; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/755/rec/5
MFS Bulletin; MFS Bulletin 16; Brackney Gergen; 3; 4; 16; January; 25; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/760/rec/6
MFS Bulletin; MFS Bulletin 17; Brackney Gergen; 3; 6; 17; February; 1; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/767/rec/7
MFS Bulletin; MFS Bulletin 18; Brackney Gergen; 3; 6; 18; February; 8; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/772/rec/8
MFS Bulletin; MFS Bulletin 19; Brackney Gergen; 3; 7; 19; February; 15; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/779/rec/9
MFS Bulletin; MFS Bulletin 20; Brackney Gergen; 3; 8; 20; February; 22; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/10816/rec/29
The Phantagraph; Phantagraph; Donald Wollheim; 11; 2; 46; October; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/8843/rec/23
Shangri-L'Affaires; Shangri-L'Affaires 10; Walt Daugherty; ; ; 10; November; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/8852/rec/24
Shangri-L'Affaires; Shangri-L'Affaires 10; Phil Bronson; ; ; 10; May; ; 1943; http://digital.lib.uiowa.edu/cdm/compoundobject/collection/hevelin/id/11635/rec/34
British Fantasy Society Bulletin; British Fantasy Society Bulletin 7; D. R. Smith; ; ; 7; March; 24; 1943; http://efanzines.com/FWD/FWD27.htm#7.NAM
British Fantasy Society Bulletin; British Fantasy Society Bulletin 8; D. R. Smith; ; ; 8; May; 10; 1943; http://efanzines.com/FWD/FWD28.htm#7.NAM
British Fantasy Society Bulletin; British Fantasy Society Bulletin 9; D. R. Smith; ; ; 9; June; 10; 1943; http://efanzines.com/FWD/FWD29.htm#11.NAM
British Fantasy Society Bulletin; British Fantasy Society Bulletin 11; D. R. Smith; ; ; 11; September; 18; 1943; http://efanzines.com/FWD/FWD31.htm#10.NAM
British Fantasy Society Bulletin; British Fantasy Society Bulletin 13; D. R. Smith; ; ; 13; November; 26; 1943; http://efanzines.com/FWD/FWD32.htm#12.NAM
The Fighting Fan; The Fighting Fan 1; Art Widner; 1; 1; 1; January; ; 1943; http://www.fanac.org/fanzines/FAPA-Misc/FAPA-Misc05-01.html
The Stefan; The Stefan 1; Al Ashley; 1; 1; 1; March; ; 1943; http://www.fanac.org/fanzines/FAPA-Misc/FAPA-Misc06-01.html
